assignment_id,course_id,due_dt,max_score
1,9,2025-04-08,30
2,19,2025-02-27,30
3,23,2025-12-04,30
4,6,2025-10-18,20
5,18,2025-06-28,10
6,18,2025-09-21,20
7,15,2025-07-16,50
8,16,2025-09-25,30
9,16,2025-08-25,30
10,10,2025-02-20,50
11,7,2025-02-28,30
12,13,2025-07-27,30
13,15,2025-06-17,20
14,27,2025-08-01,30
15,1,2025-11-17,50
16,14,2025-10-16,20
17,17,2025-10-22,30
18,13,2025-04-27,10
19,19,2025-11-17,20
20,17,2025-11-15,30
21,5,2025-11-29,50
22,17,2025-09-04,10
23,7,2025-07-01,20
24,5,2025-03-02,30
25,12,2025-05-06,10
26,14,2025-01-17,50
27,9,2025-10-02,50
28,9,2025-11-03,50
29,12,2025-11-23,30
30,9,2025-02-14,20
31,19,2025-08-25,30
32,24,2025-10-25,10
33,24,2025-06-01,30
34,14,2025-05-19,50
35,16,2025-12-07,30
36,15,2025-07-21,20
37,8,2025-03-04,50
38,22,2025-12-05,30
39,23,2025-06-30,30
40,12,2025-05-01,20
41,5,2025-07-23,10
42,9,2025-05-06,10
43,22,2025-06-03,20
44,15,2025-04-22,50
45,14,2025-02-04,30
46,22,2025-06-27,20
47,26,2025-08-18,50
48,23,2025-05-25,30
49,20,2025-01-26,30
50,25,2025-08-25,10
51,11,2025-06-10,30
52,21,2025-01-20,30
53,21,2025-07-24,50
54,26,2025-05-05,30
55,26,2025-04-29,20
56,5,2025-08-07,30
57,9,2025-02-03,10
58,26,2025-09-14,20
59,11,2025-02-19,20
60,24,2025-05-16,50
61,22,2025-10-20,30
62,3,2025-03-16,50
63,1,2025-11-02,50
64,15,2025-01-31,50
65,6,2025-05-26,30
66,3,2025-08-11,20
67,5,2025-09-30,30
68,7,2025-01-30,30
69,21,2025-09-26,30
70,19,2025-05-11,20
