course_id,title,teacher_id,semester
1,Course_1,3,2025-Fall
2,Course_2,3,2024-Fall
3,Course_3,4,2024-Fall
4,Course_4,10,2024-Fall
5,Course_5,10,2025-Spring
6,Course_6,5,2025-Spring
7,Course_7,4,2025-Fall
8,Course_8,8,2025-Fall
9,Course_9,4,2025-Fall
10,Course_10,1,2025-Spring
11,Course_11,13,2025-Fall
12,Course_12,1,2025-Fall
13,Course_13,9,2025-Spring
14,Course_14,6,2025-Fall
15,Course_15,11,2024-Fall
16,Course_16,14,2025-Spring
17,Course_17,3,2025-Fall
18,Course_18,10,2025-Fall
19,Course_19,6,2025-Spring
20,Course_20,12,2025-Spring
21,Course_21,10,2024-Fall
22,Course_22,7,2024-Fall
23,Course_23,4,2024-Fall
24,Course_24,1,2025-Spring
25,Course_25,9,2025-Fall
26,Course_26,3,2024-Fall
27,Course_27,13,2025-Spring
28,Course_28,8,2025-Fall
