student_id,course_id,enrolled_dt
1,28,2025-07-21
1,17,2025-04-13
1,6,2025-01-25
1,7,2025-01-16
1,24,2025-07-09
2,23,2025-02-01
2,15,2025-04-29
2,4,2025-03-21
2,25,2024-11-30
2,8,2024-09-15
2,16,2025-08-05
3,2,2025-09-21
3,18,2025-08-10
3,4,2025-05-02
3,22,2025-01-07
3,9,2025-04-04
4,24,2024-12-15
4,23,2024-12-19
4,13,2025-08-22
4,12,2025-04-08
4,5,2025-02-11
5,26,2025-01-15
5,15,2025-01-17
5,25,2024-10-25
6,21,2024-11-03
6,19,2025-02-10
6,6,2025-01-27
7,13,2024-12-21
7,17,2025-05-22
7,23,2025-05-13
7,14,2024-12-13
8,16,2025-08-15
8,2,2024-10-25
8,19,2025-07-17
9,14,2025-02-01
9,10,2025-02-10
9,23,2025-04-14
9,16,2025-09-07
10,15,2025-06-01
10,7,2024-12-18
10,11,2025-09-30
10,21,2025-05-02
10,10,2025-02-06
10,28,2025-06-12
11,16,2024-10-18
11,8,2025-01-19
11,5,2025-01-02
12,3,2025-08-02
12,6,2025-04-23
12,8,2025-09-08
12,13,2025-03-29
12,18,2024-09-07
12,7,2024-12-30
13,3,2024-12-17
13,5,2024-10-29
13,18,2025-05-18
13,16,2024-09-06
14,7,2025-03-14
14,13,2024-09-25
14,24,2025-02-15
14,11,2025-04-12
15,8,2024-09-27
15,12,2024-11-25
15,7,2024-09-01
16,14,2024-09-21
16,9,2024-11-20
16,25,2025-06-08
17,5,2025-01-22
17,13,2025-04-29
17,19,2024-09-27
17,22,2025-04-01
17,21,2025-05-02
18,17,2025-04-02
18,12,2025-09-26
18,6,2025-07-19
19,1,2025-07-02
19,14,2025-05-01
19,25,2024-09-17
19,21,2025-04-13
19,20,2025-07-05
20,22,2024-09-22
20,3,2024-10-31
20,19,2024-12-20
20,27,2025-04-20
21,9,2024-10-01
21,13,2025-02-06
21,8,2024-10-30
21,11,2025-01-15
21,24,2024-12-31
21,15,2024-09-19
22,5,2025-08-26
22,25,2025-07-23
22,21,2025-06-25
22,19,2024-11-19
23,19,2025-02-13
23,1,2025-02-21
23,18,2025-05-29
24,5,2025-09-23
24,11,2025-08-28
24,28,2025-06-11
24,12,2024-12-13
24,13,2025-09-24
25,28,2024-09-12
25,15,2024-10-06
25,26,2025-01-30
26,8,2025-04-26
26,28,2025-07-23
26,25,2024-09-09
